,_id,FHRSID,ChangesByServerID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,Phone,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,scores,SchemeType,geocode,RightToReply,Distance,NewRatingPending,meta,links
0,64a842f9c0f991748bd52a68,1451407,0,14959,Oaks Nursing Home,Caring Premises,5,The Oaks 904 Sidcup Road,,Eltham,Greenwich,SE9 3PW,,5,fhrs_5_en-gb,2022-01-12T00:00:00,511,Greenwich,http://www.royalgreenwich.gov.uk,health@royalgreenwich.gov.uk,"{'Hygiene': 5, 'Structural': 5, 'ConfidenceInManagement': 5}",FHRS,"{'longitude': 0.0740289, 'latitude': 51.4320613}",,4645.598535750726,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/1451407'}]"
1,64a842f9c0f991748bd52aae,694729,0,PI/000136114,Black Boy Public House,Pub/bar/nightclub,7843,Black Boy Southspring,,Avery Hill,Greenwich,DA15 8EA,,5,fhrs_5_en-gb,2020-10-06T00:00:00,511,Greenwich,http://www.royalgreenwich.gov.uk,health@royalgreenwich.gov.uk,"{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 5}",FHRS,"{'longitude': 0.0847510024905205, 'latitude': 51.445011138916}",,4645.6814145614235,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/694729'}]"
2,64a842f9c0f991748bd52ab0,695491,0,PI/000186779,Bexley Foodbank,Retailers - other,4613,Fellowship Church Southspring,,Avery Hill,Greenwich,DA15 8EA,,5,fhrs_5_en-gb,2020-10-08T00:00:00,511,Greenwich,http://www.royalgreenwich.gov.uk,health@royalgreenwich.gov.uk,"{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",FHRS,"{'longitude': 0.0847510024905205, 'latitude': 51.445011138916}",,4645.6814145614235,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/695491'}]"
3,64a842f9c0f991748bd52ae6,694474,0,PI/000086148,The Pemberdeen Laser Cosmetic Clinic Ltd,Caring Premises,5,Cavendish House Knee Hill,,Abbey Wood,Greenwich,SE2 0GD,,4,fhrs_4_en-gb,2021-10-08T00:00:00,511,Greenwich,http://www.royalgreenwich.gov.uk,health@royalgreenwich.gov.uk,"{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 10}",FHRS,"{'longitude': 0.121466, 'latitude': 51.4830158}",,4645.7353961920235,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/694474'}]"
4,64a842f9c0f991748bd52aed,1129198,0,12644,ISS Facility Services,Caring Premises,5,Goldie Leigh Hospital Site Lodge Hill,,Abbey Wood,Greenwich,SE2 0AS,,5,fhrs_5_en-gb,2021-06-24T00:00:00,511,Greenwich,http://www.royalgreenwich.gov.uk,health@royalgreenwich.gov.uk,"{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 5}",FHRS,"{'longitude': 0.1173051, 'latitude': 51.4791271}",,4645.744442825228,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/1129198'}]"
5,64a842f9c0f991748bd52aef,694116,0,PI/000017860,Cygnet Bostall House,Caring Premises,5,Bostall House Knee Hill,,Abbey Wood,Greenwich,SE2 0AT,,5,fhrs_5_en-gb,2021-11-10T00:00:00,511,Greenwich,http://www.royalgreenwich.gov.uk,health@royalgreenwich.gov.uk,"{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",FHRS,"{'longitude': 0.1208625, 'latitude': 51.4827349}",,4645.7470933775885,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/694116'}]"
6,64a842f9c0f991748bd52af2,695304,0,PI/000182586,Assessment & Treatment Unit,Caring Premises,5,Atlas House Goldie Leigh Hospital Lodge Hill,,Abbey Wood,Greenwich,SE2 0AS,,5,fhrs_5_en-gb,2021-04-26T00:00:00,511,Greenwich,http://www.royalgreenwich.gov.uk,health@royalgreenwich.gov.uk,"{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",FHRS,"{'longitude': 0.1173051, 'latitude': 51.4791271}",,4645.744442825228,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/695304'}]"
7,64a842f9c0f991748bd52b05,694074,0,PI/000007384,Breadline Catering Ltd,Other catering premises,7841,Metro Gas Sports Ground Fortyfoot Way,,Avery Hill,Greenwich,SE9 2EX,,5,fhrs_5_en-gb,2020-10-07T00:00:00,511,Greenwich,http://www.royalgreenwich.gov.uk,health@royalgreenwich.gov.uk,"{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",FHRS,"{'longitude': 0.080375000834465, 'latitude': 51.4433898925781}",,4645.7817817755495,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/694074'}]"
8,64a842f9c0f991748bd52b0b,695404,0,PI/000184933,Crafty Wizard,Caring Premises,5,Nursery Scout Hall Fortyfoot Way,,Avery Hill,Greenwich,SE9 2EX,,5,fhrs_5_en-gb,2021-11-10T00:00:00,511,Greenwich,http://www.royalgreenwich.gov.uk,health@royalgreenwich.gov.uk,"{'Hygiene': 0, 'Structural': 0, 'ConfidenceInManagement': 0}",FHRS,"{'longitude': 0.080375000834465, 'latitude': 51.4433898925781}",,4645.7817817755495,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/695404'}]"
9,64a842f9c0f991748bd52b15,694530,0,PI/000104365,Providence Linc United Services,Caring Premises,5,88 Montbelle Road,,Eltham,Greenwich,SE9 3NY,,5,fhrs_5_en-gb,2019-03-05T00:00:00,511,Greenwich,http://www.royalgreenwich.gov.uk,health@royalgreenwich.gov.uk,"{'Hygiene': 5, 'Structural': 0, 'ConfidenceInManagement': 5}",FHRS,"{'longitude': 0.0666571, 'latitude': 51.4300243}",,4645.793205172382,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/694530'}]"
10,64a842f9c0f991748bd52b20,1257201,0,13541,Alderwood Primary School,School/college/university,7845,Alderwood Primary School Rainham Close,,Avery Hill,Greenwich,SE9 2JB,,5,fhrs_5_en-gb,2021-03-15T00:00:00,511,Greenwich,http://www.royalgreenwich.gov.uk,health@royalgreenwich.gov.uk,"{'Hygiene': 0, 'Structural': 5, 'ConfidenceInManagement': 5}",FHRS,"{'longitude': 0.0853469967842102, 'latitude': 51.4490280151367}",,4645.806848645455,False,"{'dataSource': None, 'extractDate': '0001-01-01T00:00:00', 'itemCount': 0, 'returncode': None, 'totalCount': 0, 'totalPages': 0, 'pageSize': 0, 'pageNumber': 0}","[{'rel': 'self', 'href': 'http://api.ratings.food.gov.uk/establishments/1257201'}]"
